Latin Name,Common Name,Taxon_groug,Obs_Abunda,Grid_ref,Event_Loca,Sample_Loc,Sample_Dat,Sample_Yea,Sample_Rec,Obs_Determ,Determinat,Determiner,Determin_1,Obs_Record,Sample_Com,Survey_Nam,Obs_Commen,Specimen_N,Recommen_2,Obs_Key,All_Design,lat (generated automaticaly using geodesy-test3.html from grid ref),lat (generated automaticaly using geodesy-test3.html from grid ref)
Bombus (Melanobombus) lapidarius,Large Red Tailed Bumble Bee,insect - hymenopteran,1 Count of Adult Female,TQ4268,Bickley,Bickley,Unknown,0,Unknown,Unknown,Unconfirmed,,Unknown,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,ALMG : 1935.28,00010G0U05010W1Y080O0000000000000000,SR0004450000F3M5,,51.39327601,0.03961745
Bombus (Psithyrus) barbutellus,Barbut's Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,TM02,Colchester,Colchester,1904,1904,Harwood,Harwood,Unconfirmed,,1904,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080E0000000000000000,SR0004450000F3QL,,51.84276964,0.901948044
Bombus (Psithyrus) barbutellus,Barbut's Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female; 1 Count of Adult Male,TM02,Colchester,Colchester,Unknown,0,Harwood,Harwood,Unconfirmed,,Unknown,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080E0000000000000000,SR0004450000F3QK,,51.84276964,0.901948044
Bombus (Psithyrus) barbutellus,Barbut's Cuckoo Bee,insect - hymenopteran,1 Count of Adult Female,TM02,Colchester,Colchester,1890 - 1934,1890,W.H. Harwood,W.H. Harwood,Unconfirmed,,1890 - 1934,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080E0000000000000000,SR0004450000F3QM,,51.84276964,0.901948044
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY5255,Hayton Moss,Hayton Moss,03/08/1919,1919,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",03/08/1919,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QT,,54.88742764,-2.749788355
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,26/07/1919,1919,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",26/07/1919,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QW,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,04/09/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",04/09/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QY,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,10/08/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",10/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QZ,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,1 Count of Adult Male,NY55H,Tarn Lodge,Tarn Lodge,02/08/1918,1918,George Routledge,R.C.L. P,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",02/08/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QU,,54.88298247,-2.741912122
Bombus (Psithyrus) bohemicus,Gypsy (Bohemian) Cuckoo Bee,insect - hymenopteran,4 Count of Adult Male,NY5255,Hayton Moss,Hayton Moss,21/07/1918,1918,George Routledge,George Routledge,Considered Correct,"[Verified by county  referee Nick Franklin November 2017]",21/07/1918,voucher specimen,,CUR_CALMG_TH COLLECTIONS,,CALMG : 1935.28,00010G0U05010W1Y080F0000000000000000,SR0004450000F3QR,,54.88742764,-2.749788355
