Order	Name	Opening Time
0	Silver	3 hrs
1	Silver	3 hrs
2	Silver	3 hrs
3	Gold	8 hrs
4	Silver	3 hrs
5	Silver	3 hrs
6	Gold	8 hrs
7	Silver	3 hrs
8	Silver	3 hrs
9	Silver	3 hrs
10	Silver	3 hrs
11	Magic	12 hrs
12	Silver	3 hrs
13	Silver	3 hrs
14	Gold	8 hrs
15	Silver	3 hrs
16	Silver	3 hrs
17	Silver	3 hrs
18	Gold	8 hrs
19	Silver	3 hrs
20	Silver	3 hrs
21	Silver	3 hrs
22	Silver	3 hrs
23	Gold	8 hrs
24	Silver	3 hrs
25	Gold	8 hrs
26	Silver	3 hrs
27	Silver	3 hrs
28	Silver	3 hrs
29	Silver	3 hrs
30	Gold	8 hrs
31	Silver	3 hrs
32	Silver	3 hrs
33	Silver	3 hrs
34	Silver	3 hrs
35	Gold	8 hrs
36	Silver	3 hrs
37	Silver	3 hrs
38	Gold	8 hrs
39	Silver	3 hrs
40	Silver	3 hrs
41	Silver	3 hrs
42	Silver	3 hrs
43	Gold	8 hrs
44	Silver	3 hrs
45	Silver	3 hrs
46	Gold	8 hrs
47	Silver	3 hrs
48	Silver	3 hrs
49	Silver	3 hrs
50	Silver	3 hrs
51	Giant	12 hrs
52	Silver	3 hrs
53	Silver	3 hrs
54	Gold	8 hrs
55	Silver	3 hrs
56	Silver	3 hrs
57	Silver	3 hrs
58	Gold	8 hrs
59	Silver	3 hrs
60	Silver	3 hrs
61	Silver	3 hrs
62	Silver	3 hrs
63	Gold	8 hrs
64	Silver	3 hrs
65	Gold	8 hrs
66	Silver	3 hrs
67	Silver	3 hrs
68	Silver	3 hrs
69	Silver	3 hrs
70	Gold	8 hrs
71	Silver	3 hrs
72	Silver	3 hrs
73	Silver	3 hrs
74	Silver	3 hrs
75	Gold	8 hrs
76	Silver	3 hrs
77	Silver	3 hrs
78	Gold	8 hrs
79	Silver	3 hrs
80	Silver	3 hrs
81	Silver	3 hrs
82	Silver	3 hrs
83	Magic	12 hrs
84	Silver	3 hrs
